relative_path,group,format,main_modality,source_name,source_url_or_note,bytes,sha256,real_status
01_legal/bo_luat_dan_su_2015_chinhphu_signed.pdf,Pháp luật,PDF scan,"text, table",Cổng TTĐT Chính phủ,https://datafiles.chinhphu.vn/cpp/files/vbpq/2016/01/91.signed.pdf,6675593,d2f9e486faa8aa205dff952c813251acb82475a614b388d2a52449a05dd37205,real_or_derived_from_real; no synthetic samples
01_legal/luat_doanh_nghiep_2020_chinhphu_part1_signed.pdf,Pháp luật,PDF scan,"text, table",Cổng TTĐT Chính phủ,https://datafiles.chinhphu.vn/cpp/files/vbpq/2020/07/59.signed.pdf,4401655,f976142056c3f5b3b96198507834ab47138faaaa45ed4a399c44664ca959af41,real_or_derived_from_real; no synthetic samples
01_legal/luat_doanh_nghiep_2020_chinhphu_part2_signed.pdf,Pháp luật,PDF scan,"text, table",Cổng TTĐT Chính phủ,https://datafiles.chinhphu.vn/cpp/files/vbpq/2020/07/59tiep.pdf,4425010,96e4d601a5fc8bba803169deb4a0d9b37a022c21cff0de1c7bf37fc1d68bdb81,real_or_derived_from_real; no synthetic samples
01_legal/luat_hon_nhan_gia_dinh_2014_chinhphu_signed.pdf,Pháp luật,PDF scan,text,Cổng TTĐT Chính phủ,https://datafiles.chinhphu.vn/cpp/files/vbpq/2014/08/52_honnhan_gd.signed.pdf,2984064,5c8b6404a81129b5f90b9ff2cfb96701a178a81aacb86c12e9126a3a3abc87c1,real_or_derived_from_real; no synthetic samples
02_finance/fpt_annual_report_2023_en.pdf,Tài chính,PDF,"table, text",FPT official,https://fpt.com/-/media/project/fpt-corporation/fpt/ir/information-disclosures/year-report/2024/march/cbtt_2023-fpt-annual-report-en.pdf,15387544,c63e489b62e9c6563692135f94cf2c4f8e1afded084f6b161b61d3001dc14b4f,real_or_derived_from_real; no synthetic samples
02_finance/fpt_bao_cao_tai_chinh_hop_nhat_2023_vi.pdf,Tài chính,PDF,"table, text",FPT/Vietstock mirror,https://fpt.com/vi/nha-dau-tu/bao-cao-thuong-nien,4581919,f9bb9157341f2adbd275d088794b2574586743119989321f9d261ca04376831e,real_or_derived_from_real; no synthetic samples
02_finance/vinamilk_annual_report_2023_source_link.md,Tài chính,source link,"table,text",Vinamilk official 2023 source link,https://www.vinamilk.com.vn/bao-cao-thuong-nien/bao-cao/2023/index.html,717,41de4d264c20bfc18d8d1b3fcf6745f4e1920d244094d9c3bd17c8c46a314a30,real_or_derived_from_real; no synthetic samples
02_finance/vinamilk_annual_report_2024_vietstock_real.pdf,Tài chính,PDF,"table, text",Vietstock mirror,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/VNM_Baocaothuongnien_2024.pdf,6556766,4c756bba77e39d192515f377caafa4f7105234b2c943eb164d0a0987ecedfc55,real_or_derived_from_real; no synthetic samples
03_academic/attention_is_all_you_need_vaswani_2017.pdf,Học thuật,PDF 2 cột,"text, figure",arXiv,https://arxiv.org/pdf/1706.03762,2215244,bdfaa68d8984f0dc02beaca527b76f207d99b666d31d1da728ee0728182df697,real_or_derived_from_real; no synthetic samples
03_academic/bert_devlin_2018.pdf,Học thuật,PDF 2 cột,text,arXiv,https://arxiv.org/pdf/1810.04805,775166,5692a5514787a8c6727b4ff3b726a3385798bc68e12138d1d4af83947e2acf6e,real_or_derived_from_real; no synthetic samples
03_academic/hinton_neural_networks_for_machine_learning_lecture1_real.pptx,Học thuật,PPTX,"text, figure",University of Toronto course slides,https://www.cs.toronto.edu/~hinton/coursera/lecture1/lec1.pptx,3797020,e328955fce043bb80bc729abe6d445497150757cc656f43910a13c1d719c07aa,real_or_derived_from_real; no synthetic samples
03_academic/rag_lewis_2020.pdf,Học thuật,PDF 2 cột,text,arXiv,https://arxiv.org/pdf/2005.11401,885323,23e3249e9a1e75418d82efecab0ea8c4d033b89c93742f63208d47ce01f21233,real_or_derived_from_real; no synthetic samples
03_academic/sfsu_engr492_hardware_for_ml_syllabus_real.docx,Học thuật,DOCX,text,SFSU course syllabus,https://engineering.sfsu.edu/sites/default/files/documents/ENGR%20492%20Hardware%20for%20Machine%20Learning%20Course%20Syllabus.docx,19416,769cd33e1cc7dd92700d47b2d28e6fed2031bf35757be04d34bc3b92f064c95f,real_or_derived_from_real; no synthetic samples
04_ocr_images/handwriting_vietnamese_01.jpeg,OCR / Viết tay,JPEG,image,5CD-AI Viet-Handwriting-OCR-v2 example,https://huggingface.co/datasets/5CD-AI/Viet-Handwriting-OCR-v2,21085,d65b7b8f99fbfd9cccbf4e479706d537cb7ccc92d17d2c1389aa656d255637ee,real_or_derived_from_real; no synthetic samples
04_ocr_images/handwriting_vietnamese_02.jpeg,OCR / Viết tay,JPEG,image,5CD-AI Viet-Handwriting-OCR-v2 example,https://huggingface.co/datasets/5CD-AI/Viet-Handwriting-OCR-v2,11158,4443de0b45e30d01e0dd0d574ef38b8aacadd2fa35b3d70dc808f78161aad807,real_or_derived_from_real; no synthetic samples
04_ocr_images/handwriting_vietnamese_03.jpeg,OCR / Viết tay,JPEG,image,5CD-AI Viet-Handwriting-OCR-v2 example,https://huggingface.co/datasets/5CD-AI/Viet-Handwriting-OCR-v2,8955,11d811fae18a6c3cba6f8617bae0c351d5d00396b4b081bf13ed51439361f54d,real_or_derived_from_real; no synthetic samples
04_ocr_images/handwriting_vietnamese_04.png,OCR / Viết tay,PNG,image,5CD-AI Viet-Handwriting-OCR-v2 example,https://huggingface.co/datasets/5CD-AI/Viet-Handwriting-OCR-v2,161267,829dcd1e746b2168c1cd494ab43e9eca27a1a19c019deb3e1a76b4e5cff26fcc,real_or_derived_from_real; no synthetic samples
04_ocr_images/real_attention_paper_two_column_page003.png,OCR,PNG,"image,text,figure",Rendered from real arXiv paper,derived from Attention paper,277214,26d5d70cfb257ad2e76368c08e2cdc618549bef2f0cd2d0b142889a758687b00,real_or_derived_from_real; no synthetic samples
04_ocr_images/real_fpt_financial_statement_table_page007.png,OCR,PNG,"image,table,text",Rendered from real FPT financial PDF,derived from FPT BCTC 2023,297317,f7c9d541bbe5fe79948203ab8c92065a500ac4619c1d0642b1eb23dd6173b216,real_or_derived_from_real; no synthetic samples
04_ocr_images/real_scan_bo_luat_dan_su_2015_page001.png,OCR,PNG,"image,text",Rendered from real legal PDF,derived from Bộ luật Dân sự 2015,145939,aca86c60a46b53197467d12adafaf0b47fd43315f33bfe4af3e0ddb4e0c99a9c,real_or_derived_from_real; no synthetic samples
04_ocr_images/real_vinamilk_annual_report_page015.png,OCR,PNG,"image,text,figure",Rendered from real Vinamilk report PDF,derived from Vinamilk report,328829,64a48be1187f8674abeb0a2fd5be229be07e3516b98a305e7dbbf92552f6e8e7,real_or_derived_from_real; no synthetic samples
05_audio_real_sources/README_audio_sources.md,Âm thanh,source links,audio,Archive.org + FOSD real sources,https://archive.org/details/KinhTuongUngBo ; https://openscience.vn/chi-tiet-du-lieu/fpt-open-speech-dataset-fosd-vietnamese-11619,1233,63c1af0d675cfd4c2f6b2011ad997a55250d7eb4d06ede961df41a57f1b41f82,real_or_derived_from_real; no synthetic samples
